Architecture,Trained_on,COR,Score,Model_ID,CLEAN,MIXED,MIXED_2,MIXED_3
CRNN,CLEAN,No,CER,167,0.0500812293109555,0.4542245349163887,0.4602464973676817,0.4584020423369612
CRNN,CLEAN,No,WER,167,0.1382697947214076,0.6402737047898338,0.6455034213098729,0.6381231671554253
CRNN,CLEAN,No,CER,168,0.049189539130541,0.4648270976095374,0.4694199127853714,0.4663661792908009
CRNN,CLEAN,No,WER,168,0.1345063538611925,0.6334799608993157,0.6389051808406647,0.6332355816226783
CRNN,CLEAN,No,CER,169,0.0522432726251114,0.4465291265100712,0.451720473450841,0.4493019165231411
CRNN,CLEAN,No,WER,169,0.1425708699902248,0.6242424242424243,0.6296187683284458,0.6258064516129033
CRNN,CLEAN,Yes,CER,167,0.0493849780741935,0.0583873844161872,0.0578377123871645,0.0582896649443609
CRNN,CLEAN,Yes,WER,167,0.1367546432062561,0.1527859237536656,0.1520039100684262,0.1523460410557184
CRNN,CLEAN,Yes,CER,168,0.0480291204026042,0.0562009112340747,0.0570437416785762,0.056298630705901
CRNN,CLEAN,Yes,WER,168,0.1320625610948191,0.1479960899315738,0.1487781036168133,0.1470674486803519
CRNN,CLEAN,Yes,CER,169,0.051314937642762,0.0599264660974507,0.0599264660974507,0.0605982874662562
CRNN,CLEAN,Yes,WER,169,0.1413489736070381,0.1564027370478983,0.1564027370478983,0.1573313782991202
CRNN,MIXED,No,CER,170,0.0524264966347856,0.0787008196220699,0.0798978831519415,0.0792504916510926
CRNN,MIXED,No,WER,170,0.1419354838709677,0.1895894428152492,0.1931085043988269,0.1935972629521016
CRNN,MIXED,No,CER,171,0.0524997862386553,0.0787008196220699,0.0806063493226819,0.0792871364530274
CRNN,MIXED,No,WER,171,0.1411534701857282,0.1894916911045943,0.193841642228739,0.1928641251221896
CRNN,MIXED,No,CER,172,0.0526341505124164,0.0777358398377856,0.0785908852162654,0.0790916975093749
CRNN,MIXED,No,WER,172,0.1413978494623655,0.1889051808406647,0.1896383186705767,0.1943792766373411
CRNN,MIXED,Yes,CER,170,0.05118057336900094,0.05689716247083684,0.057031526744597945,0.0569948819426631
CRNN,MIXED,Yes,WER,170,0.13714565004887586,0.14863147605083088,0.1495601173020528,0.1490713587487781
CRNN,MIXED,Yes,CER,171,0.05159588112426252,0.05800872146286049,0.0580697961327519,0.05787435718909939
CRNN,MIXED,Yes,WER,171,0.1396871945259042,0.1514173998044966,0.15146627565982404,0.15053763440860216
CRNN,MIXED,Yes,CER,172,0.05157145125630596,0.05792321692501252,0.057764422783294855,0.05810644093468675
CRNN,MIXED,Yes,WER,172,0.13914956011730206,0.15195503421309872,0.15053763440860216,0.15161290322580645
